channel_id,name,url,subscribers,country,videos,views,status,reject_reason,description
UC-JN3EJI6NMn-lVHBUfMJaw,Future Tech Shorts,https://www.youtube.com/@futuretechshorts-e,2,,2,28,rejected,subscriber_out_of_range,"Welcome to Future Tech Shorts!  Get the latest updates on AI tools, technology trends, gadgets, productivity hacks, and digital innovations—all in under 60 seco"
UCKFswOdITChtON4TYfW2D0Q,Mind hacker krishna,https://www.youtube.com/@mindhackerkrishna,5440,IN,328,4486570,accepted,,       ॐ कृष्णाय वासुदेवाय हरये परमात्मने |           प्रणतः क्लेशनाशाय गोविंदाय नमो नमः        सनातनी भाईयों को मेरा नमस्कार 🙏🙏  आपका एक subscribe हमारे लिए di
UCjSbPZN5yAJxeqrwk-HaJIw,Creator House,https://www.youtube.com/@creatorhouse27,63700,IN,658,4643806,accepted,,Subscribe for daily entertaining tech videos. Contact:- creatorhouse27@gmail.com Telegram -  https://t.me/creatorshouse27
UCi2iv5iVUorfoKjAsB5-fYg,Work With AI,https://www.youtube.com/@workwithai-b3b,3,,4,65,rejected,subscriber_out_of_range,"Welcome to Work With AI — your weekly source for  the best AI tools that save you time and make  your work easier.  Whether you're a graphic designer, freelance"
UCupvZG-5ko_eiXAupbDfxWw,CNN,https://www.youtube.com/@cnn,19600000,US,183556,20739454201,rejected,subscriber_out_of_range,"CNN is the world leader in news and information and seeks to inform, engage and empower the world. Staffed 24 hours, seven days a week by a dedicated team in CN"
UCt21WobcYslvzoeRruQB4Zg,AI-PulseDaily,https://www.youtube.com/@ai-pulsedaily-26,2,GB,18,696,rejected,subscriber_out_of_range,"AI Pulse Daily keeps you current on artificial intelligence — new model launches, research breakthroughs and practical tools — in fast daily briefings for build"
UCdrX8O42UTMUWKiPWQmUvqg,raani kumari,https://www.youtube.com/@raanikumari123,5,,5,5673,rejected,subscriber_out_of_range,single girl 
UClJmhsFqUVgVaCHl8jRsYPQ,Nick Mirabella,https://www.youtube.com/@nickmirabella1,7110,US,1190,1655674,accepted,,"I help salon owners build profitable, scalable businesses that run without them.  I spent 20+ years behind the chair, built my own salon from zero, and learned "
UCxKvl21tkAfN1Vh_V847CBA,Shivam Tech codes,https://www.youtube.com/@shivamtechcodes,268,IN,9,48990,rejected,subscriber_out_of_range,
UCAdEqOhSnzlLBtaapu567AQ,HPE,https://www.youtube.com/@hpe,72000,US,2423,21750217,accepted,,"Welcome to the Hewlett Packard Enterprise YouTube channel. HPE is a leader in essential enterprise technology, bringing together the power of AI, cloud, and net"
UCHIr8reZuvbjTn-Z8LDvFHQ,AwesomeCast,https://www.youtube.com/@awesomecast,687,,4617,1182342,rejected,subscriber_out_of_range,Tech News Banter. Awesome   contact@awesomecast.com
UCm2Fz7aL464TC_0uG_yagng,kumparan,https://www.youtube.com/@kumparan,2200000,ID,45522,1007143199,rejected,subscriber_out_of_range,Bicara Fakta Lewat Berita  Instagram: https://instagram.com/kumparancom  TikTok: https://www.tiktok.com/@kumparan Facebook: https://facebook.com/kumparancom X: 
UCoGHeFY7jE2OB_TJS_87MOA,Brototype Malayalam,https://www.youtube.com/@brototypemalayalam,536000,IN,1056,57211543,accepted,,Brototype is more than just a YouTube channel. We are South India's top community for aspiring techies looking to learn coding and land their dream IT jobs. Our
UCbygDe8SRwTaEiFwHdoQxgg,The Swag Wala PM,https://www.youtube.com/@theswagwalapm,48200,IN,597,3140630,accepted,,"Most people think they're bad at PRODUCT MANAGEMENT.  They're not; they're stuck on the surface, learning what to do, when the real game is learning ""how to see"
UCjR1kDZD5GogQXc3-HQgDhg,88 NEWS ,https://www.youtube.com/@news-may88,73,,91,123308,rejected,subscriber_out_of_range,
UCsMica-v34Irf9KVTh6xx-g,Microsoft Developer,https://www.youtube.com/@microsoftdeveloper,684000,US,8842,85225143,accepted,,"Official Microsoft Developer YouTube channel! Featuring live events, tips and tutorials, product news and more to help you explore, discover, and build solution"
UCvw9kVKHEyAlZPZ6ZuOd2VA,Dan Sfera,https://www.youtube.com/@dansfera,113000,US,10779,6719131,accepted,,"Text ""guru"" to 855-942-5288.  Business. Clinical Trials. Life Sciences. Biotech. "
