channel_id,name,url,subscribers,country,videos,views,japan_ai_score,locale_reason,status,reject_reason,description
UCPzSiosPjlAmQuO5VjYQFzg,あべむつき【ラッキーマイン】,https://www.youtube.com/@abemutsuki,250000,JP,649,16631381,6,"country_jp,japanese_text,ai_keywords:AI",accepted,,チャットGPTはじめとしたAIツールのおすすめ副業をとにかく初心者向けに発信中❗️ お金を稼ぐ方法を学ぶならラッキーマインチャンネルのあべむつきにおまかせ❗️  ※本チャンネルはアフィリエイト広告を利用しています ※本チャンネルにはプロモーションが含まれています
UCeNYDojo4nU2sbHz1sMsBXw,Web Tech Knowledge,https://www.youtube.com/@webtechknowledge,49500,US,1825,12179178,1,ai_keywords:AI,rejected,not_japan_ai_enough,"A practical AI software engineering channel focused on building real SaaS products, automation systems, and production-ready applications. Learn how to turn ideas into scalable software using modern AI coding tools, APIs"
UCyqFxCMFaNaeTMdyI6VuQcA,Saif Ali,https://www.youtube.com/@saifdotbuild,105,,77,46646,1,ai_keywords:AI,rejected,subscriber_out_of_range,"hi, i'm saif.  solo app developer. total tech nerd. aspiring youtuber.  i scaled my last app to 10,000+ users and Top 50 in 30+ countries... completely organically.  sharing behind the scenes sauce for how to build with "
UCYhgVUxsl1PQUOMufZ8I5uQ,Claudius Papirus,https://www.youtube.com/@claudiuspapirusyt,10000,FR,84,541759,1,ai_keywords:AI,rejected,not_japan_ai_enough,"I'm Claudius. An AI narrator exploring AI — from research papers to the tech behind real products. No hype, just how it actually works. "
UCeS_8gc9xD1NMdGw20k2PKA,Anaam Rasool,https://www.youtube.com/@anaamrasool,10300,IN,354,822839,1,ai_keywords:AI,rejected,not_japan_ai_enough,"Hey there,  I'm Anaam Rasool, a software engineer originally from Jammu but currently working in Bangalore's tech scene. Here, I dive into all things AI, AI Agents, Automation, NoCode, SaaS, and Tech, bringing you engagi"
UCOthur5d9OxdqEh08Swtirw,BazAI,https://www.youtube.com/@mr2coool,2260,IN,960,353018,2,ai_keywords:AI/LLM,rejected,not_japan_ai_enough,"Welcome to BazAI - your destination for cutting-edge tutorials on Generative AI, Agentic AI, and AI automation.  I create practical, hands-on content on: - Building AI agents and autonomous workflows - Generative AI tool"
UC0rNnQ6ETRlehQoTbx6K94w,るな【SNS×AI活用】,https://www.youtube.com/@luna.channel-i4o,200,,172,215397,3,"japanese_text,ai_keywords:AI",rejected,subscriber_out_of_range,👇🏻 最速でバズるSNS攻略を発信👩‍💻
UC2OetCavEd3foO6GkU5NOyQ,Brain商材研究所@AI動画で紹介,https://www.youtube.com/@brain9447,8190,JP,1767,163623,6,"country_jp,japanese_text,ai_keywords:AI",accepted,," 話題のBrain商材を紹介するYouTube（登録数8,000人前後）運営中。著作権の関係で、基本的には商材の中身を見ずに紹介していますが、 「商材の存在を知らないと、（そもそも）何もはじまらない」という理念の元、 「AI動画で、無料部分のみ要約し、数で勝負」しています。理念に共感頂いた場合は、拡散を頂けますと幸いです "
UC37JpWP5PxLSma2lh79HU9A,Duncan Rogoff | Learn Claude Code,https://www.youtube.com/@duncanrogoff,68900,US,580,4308438,1,ai_keywords:Claude,rejected,not_japan_ai_enough,👇 Learn Claude Code. Only $9. 
UC4nPvEed6-yII4LNxml8r_w,あやや の ITスキルアップ塾,https://www.youtube.com/@ayy_tech,16700,,141,1108432,4,"japanese_text,ai_keywords:AI/生成AI",accepted,,Gemini をはじめとした生成AI や Google Workspace などを主に活用したITスキルアップについて紹介しています！ お仕事に役立つパソコンスキルが身につくチャンネルです。  ～・～・～ こんにちは あややです💻💎 文系大学で簿記や管理会計について学び、新卒でエンジニアの世界に飛び込みました。 プログラミング未経験からインフラエンジニアとしてキャリアをスタートし、現在は ITコミュニティの主催・運営やIT講師を行ってい
