name,url,subscribers,country,videos,views,japan_ai_score,locale_reason,description
セイ 【Sei】,https://www.youtube.com/@sei5267,1560,JP,206,2547771,5,"country_jp,japanese_text",中国生まれ、日本育ち。 美容室経営、貿易会社経営。 趣味：車、バイク、音楽、食べる。 大好きな車に関する情報をを配信していきますので、 みなさん宜しくお願い致します。
生成AI実践チャンネル,https://www.youtube.com/@aigalleryjp,1550,JP,38,66822,7,"country_jp,japanese_text,ai_keywords:AI/生成AI",AIリスキル株式会社 代表の山原慎也（しんやん）です。  AIツール専門メディア「AIツールギャラリー」と、AIイベントプラットフォーム「Weabee（ウィービー）」を運営しながら、日々生成AIを使って、仕事・メディア・イベント・事業づくりに取り組んでいます。  このチャンネルでは、生成AIツールの使い方やTips、AIイベントのアーカイブ、AIコミュニティの話、そしてAIを使いながら事業をつくっていく裏側を発信していきます。  うまく
trangul wason,https://www.youtube.com/@trangulwason,1550,JP,2394,710964,4,"country_jp,ai_keywords:AI",sports  trangulwason  news story drama film shows short shorts subscribe  entertainment 
めいるすとろむ,https://www.youtube.com/@maelstrom_buzz,1490,JP,7,8517,5,"country_jp,japanese_text",
いち【AI社員と働く経営者】,https://www.youtube.com/@ichi-aircle,1440,,56,74623,5,"japanese_text,ai_keywords:AI/Claude/Codex","いちです。ビジネスを始めて初年度から、AIを全ての事業運営・マーケティング・コンテンツ制作・組織運営に徹底活用し、ほぼ一人の少人数体制で年商5,500万円規模まで事業を成長させてきました。  また、立ち上げから半年で構築した事業を上場企業へM&Aした経験もあり、その過程で、AIをどのように事業化し、マーケティングに組み込み、成果へとつなげるかを実践してきました。  現在は、AirCle代表として、Xフォロワー1万人規模の完全無料の学生A"
しごと改善ラボ,https://www.youtube.com/@しごと改善ラボ,1440,US,18,1286,4,"japanese_text,ai_keywords:AI/ChatGPT",AI・ChatGPT・Excel・GAS・Pythonなどを使って、日々の仕事を少しラクにする方法を紹介するチャンネルです。  むずかしい専門用語ばかりではなく、実際の仕事で使いやすい小さな改善アイデアを中心に発信しています。  メール作成、資料整理、会議メモの要約、Excel作業、定型業務の自動化など、「これなら自分の仕事にも使えそう」と思える内容を、画像とテロップでわかりやすくまとめていきます。  AIをただ紹介するだけではなく、仕
世界事情・IT情報,https://www.youtube.com/@softjapan,1430,JP,184,171286,5,"country_jp,japanese_text",開発歴20年のフルスタックエンジニア＠Tokyo｜システム開発の豆知識を毎日発信しています♪
シュレーディンガーのねこ,https://www.youtube.com/@kodaisato4972,1420,JP,1264,166135,6,"country_jp,japanese_text,ai_keywords:AI",AIと人との協調的関係を作るための研究・考察チャンネル AIと人の境界線などをAI側から人側から研究。一つのエコシステムとして考えてみたり… 
一本のペン,https://www.youtube.com/@this_is_one_pen,1420,JP,331,164804,5,"country_jp,japanese_text",へのへのもへじ作家。 たまに短い小説を書いたりしています。 最近はオリジナル曲も作っています。  このチャンネルの動画では音声に以下を使用しています。 CeVIO：すずきつづみ VOICEVOX：ナースロボ＿タイプＴ VOICEVOX：もち子さん VOICEVOX：ちび式じい VOICEVOX：九州そら VOICEVOX：ずんだもん VOICEVOX：No.7 VoiSona：知声 VoiSona：こむらさきももか 
簡単マイコン教室,https://www.youtube.com/@easymicrobitclassroom,1380,JP,2481,242342,5,"country_jp,japanese_text",カード型マイコンのmicro:bitの短いプログラムを小学生向けに配信しています． 「みる はかる かんがえる！」をキーワードにプログラミングを楽しく学びましょう！  2020年4月から始まる小学校プログラミング教育必修化に向けて， 子供達が自由な時間にマイコンを学ぶ時間を提供したい！ また，各学校で小学生を教える先生を応援したい！という思いで，動画配信を始めました．  基本的には小学生を対象に動画を作っていますが， できれば，ご家庭の
Itsuki | AI×ビジネス ch,https://www.youtube.com/@itsukichannel5745,1370,JP,77,77637,8,"country_jp,japanese_text,ai_keywords:AI/ChatGPT/Claude","このチャンネルは、AIを業務に組み込みたいPM / マーケター / 経営者 のための、 ""実務で本当に効いた使い方""だけを共有する最前線ラボです。  ch運営者（SaaS PdM／学生マーケ企業）が、広告運用・経営判断・組織設計の現場で実際に試したAIワークフローを、忖度なし・実例ベースで公開します。 🔔 通知ONで、毎日のAI業務改善をお見逃しなく。  #AI #PM #マーケティング #経営 #ClaudeCode #Gemini "
NEXs Tokyo,https://www.youtube.com/@nexstokyo,1370,JP,339,109198,5,"country_jp,japanese_text",「NEXs Tokyo」は、国内外の広域展開に挑むスタートアップが、情報とヒューマンネットワークの集積地『東京』を経由し『次のステージ』に向かって、しっかりと事業を創出し、組成していくー。そのサポートを、東京だけでなく全国各地が連携して実践する、まったく新しいかたちのスタートアップ支援事業です。成長・連携の場としての『コミュニティ』と『モデル事業創出プログラム』という2つの特徴的な支援を提供します。 ------------------
LAPRAS公式,https://www.youtube.com/@lapras_inc,1350,JP,326,90729,5,"country_jp,japanese_text",================================================ エンジニアの得意や好きを分析して ポートフォリオを自動作成する【LAPRAS】はこちらから https://lapras.com/ ================================================ ■LAPRAS公式Twitterアカウントはコチラ → https://twitter.com/lapras_i
Yūma hh,https://www.youtube.com/@yumahh-w1q,1350,JP,16,100945,3,country_jp,
ほーくIショート動画×AI攻略,https://www.youtube.com/@short-aipro,1330,,133,551372,3,"japanese_text,ai_keywords:AI",👇AIとSNSが学べる251本の動画講義無料🎁 未経験でも1ヶ月で36マン達成。SNS総フォロワー23万の中の人。 
AISPALab,https://www.youtube.com/@aispalab,1320,JP,500,209522,6,"country_jp,japanese_text,ai_keywords:AI",​AIが当たり前になる世界で、私たち人間は何を大切にして生きていけばいいのか？  ​AISPA Labは、そんな「問い」をテクノロジーと哲学の両面から探求するチャンネルです。  最新のAI技術や論文の解説はもちろんですが、単なるツール紹介にとどまらず、それが社会や教育、そして私たちの生活にどう関わってくるのかを深掘りします。  ​また、デジタル漬けの日々から離れ、五感を解放するための拠点「experience villa 那須塩原」の開
トリビアショート研究所,https://www.youtube.com/@quickfactlab-919,1310,JP,217,1281921,5,"country_jp,japanese_text",1分で“へぇ！”が増えるチャンネル📚 毎日の会話がちょっと楽しくなる日本＆世界の雑学をショートでお届け。 Tomorrow you’ll want to tell someone!✨ 
