channel_id,name,url,subscribers,country,videos,views,japan_ai_score,locale_reason,status,reject_reason,description
UCeNYDojo4nU2sbHz1sMsBXw,Web Tech Knowledge,https://www.youtube.com/@webtechknowledge,49500,US,1825,12179178,1,ai_keywords:AI,rejected,not_japan_ai_enough,"A practical AI software engineering channel focused on building real SaaS products, automation systems, and production-ready applications. Learn how to turn ideas into scalable software using modern AI coding tools, APIs"
UCyqFxCMFaNaeTMdyI6VuQcA,Saif Ali,https://www.youtube.com/@saifdotbuild,105,,77,46646,1,ai_keywords:AI,rejected,subscriber_out_of_range,"hi, i'm saif.  solo app developer. total tech nerd. aspiring youtuber.  i scaled my last app to 10,000+ users and Top 50 in 30+ countries... completely organically.  sharing behind the scenes sauce for how to build with "
UCYhgVUxsl1PQUOMufZ8I5uQ,Claudius Papirus,https://www.youtube.com/@claudiuspapirusyt,10000,FR,84,541759,1,ai_keywords:AI,rejected,not_japan_ai_enough,"I'm Claudius. An AI narrator exploring AI — from research papers to the tech behind real products. No hype, just how it actually works. "
UCeS_8gc9xD1NMdGw20k2PKA,Anaam Rasool,https://www.youtube.com/@anaamrasool,10300,IN,354,822839,1,ai_keywords:AI,rejected,not_japan_ai_enough,"Hey there,  I'm Anaam Rasool, a software engineer originally from Jammu but currently working in Bangalore's tech scene. Here, I dive into all things AI, AI Agents, Automation, NoCode, SaaS, and Tech, bringing you engagi"
UCOthur5d9OxdqEh08Swtirw,BazAI,https://www.youtube.com/@mr2coool,2260,IN,960,353018,2,ai_keywords:AI/LLM,rejected,not_japan_ai_enough,"Welcome to BazAI - your destination for cutting-edge tutorials on Generative AI, Agentic AI, and AI automation.  I create practical, hands-on content on: - Building AI agents and autonomous workflows - Generative AI tool"
UC0rNnQ6ETRlehQoTbx6K94w,るな【SNS×AI活用】,https://www.youtube.com/@luna.channel-i4o,200,,172,215397,3,"japanese_text,ai_keywords:AI",rejected,subscriber_out_of_range,👇🏻 最速でバズるSNS攻略を発信👩‍💻
UC37JpWP5PxLSma2lh79HU9A,Duncan Rogoff | Learn Claude Code,https://www.youtube.com/@duncanrogoff,68900,US,580,4308438,1,ai_keywords:Claude,rejected,not_japan_ai_enough,👇 Learn Claude Code. Only $9. 
UCigbdn261gTSXeDZa-lai-w,まい【会社辞めてSNS生活】,https://www.youtube.com/@mai_sns_ai1122,151,,53,88941,3,"japanese_text,ai_keywords:AI",rejected,subscriber_out_of_range,👇AIとSNSが学べる251本の動画講義無料🎁 🌸未経験でも1ヶ月で54マン達成 🌸SNS総フォロワー33万の中の人 
UCEJrdN_JeSc8-Ysh2MU9rnQ,kat,https://www.youtube.com/@kat-d5p1k,296,JP,152,428285,6,"country_jp,japanese_text,ai_keywords:AI",rejected,subscriber_out_of_range,気になるニュースや個人的に面白いと思ったことをショート動画でご紹介。またAI生成作品など思うがままに並べます🎵
UCMWCRyD6A2xYAyE1h46GxLQ,AIニュースチャンネル,https://www.youtube.com/@kingjoe_ai_news_channel,53,JP,622,10216,6,"country_jp,japanese_text,ai_keywords:AI",rejected,subscriber_out_of_range,Vibe Codingで作るAI自動記事  興味分野の動向に追従すべく、AIを使って最新ニュースを収集し、短い動画にまとめる取り組み。 (2026/2/17から情報源を国内外のIT系ニュースに絞り込んだ）  本チャンネルの動画をご視聴いただくにあたり、以下の点にご留意ください。  情報提供の目的: 本動画は、教育的かつ参考情報提供を目的として作成されており、情報の絶対的な正確性や完全性を保証するものではありません。  情報の編集・作成に
