name,url,subscribers,country,videos,views,japan_ai_score,locale_reason,description
mikimiki web スクール,https://www.youtube.com/@mikimikiweb,374000,JP,797,30742913,8,"country_jp,japanese_text,ai_keywords:AI/生成AI/ChatGPT",Webデザイン、Canva、AI、Webマーケティング、SNS等の最新トレンド情報を発信するチャンネル。  ■Contact 📩： ririan.design01@ririanco.com（English available）  ■Corporate site（会社HP) https://mikimiki1021.com/  ■Canva、Instagram、生成AIの法人研修の無料相談はこちら https://mikimiki1021
いけともch,https://www.youtube.com/@iketomo-ch,207000,JP,402,14436491,8,"country_jp,japanese_text,ai_keywords:AI/生成AI/ChatGPT",ChatGPTや最新AI・リモートワーク系ツールなど、リモート時代に必要なツール・ノウハウをわかりやすく学べるチャンネルです。ITが苦手な人にも分かりやすく、実践的な解説やノウハウをどんどん出していきますので、ぜひチャンネル登録いただき、一緒に学んでいきましょう！   ■このチャンネルの対象者 ・ChatGPTなどの生成AIを使いこなしたいけど、いまいちわからない… ・ZoomやSlackなどいろいろなツールを使う必要あるが、ITが苦手
KEITO【AI&WEB ch】,https://www.youtube.com/@keitoaiweb,202000,JP,492,17636686,8,"country_jp,japanese_text,ai_keywords:AI/生成AI/ChatGPT/Claude",AI × ディレクター｜信頼できる生成AI情報&活用事例  このチャンネルではChatGPTやClaudeなどの生成AI活用やクリエイティブ系生成AIなどの活用、新しいツールやサービスを実際に触りながら紹介。その他ITに関する便利なツールや情報を誰よりも分かりやすく発信しています。  【信頼性重視】で活動してます。 役に立った！面白かった！と思って頂けたらチャンネル登録お願い致します。  AIを使ったサービス・仕組みのプロデュース。生成
いまにゅのAIプログラミング塾,https://www.youtube.com/@imanyu_programming,176000,JP,268,17130966,8,"country_jp,japanese_text,ai_keywords:AI/Claude/エージェント",「コードは書かない、AIに書かせる」── 非エンジニアのためのAIプログラミングチャンネルです。 株式会社ミチガエル 代表のいまにゅ（今西航平）が、ビジネスパーソン向けにAIを使ったプログラミング術をわかりやすく解説しています。Claude Code・Cursor などのAIコーディングツールの活用法、業務自動化、AIエージェントの作り方まで、実践的なノウハウをお届けします。  ▼ 書籍・講座 ・KADOKAWA よりPython・デー
ウェブ職TV@Claude Codeの安全な使い方を学習,https://www.youtube.com/@webshokutv,153000,JP,2949,30970810,8,"country_jp,japanese_text,ai_keywords:AI/人工知能/ChatGPT/Claude",このチャンネルではブログ、アフィリエイト、最新AI、ChatGPT、プログラミングなどの話題を中心にウェブ業界の最新動向を発信しています。  人工知能(AI)の進化により消えていく業界が多いと言われる中、これから数十年ウェブ業界はまだまだ伸び続けるはずです。  2005年にウェブ業界に飛び込んで18年間、私自身も様々な失敗をしてきました。しかし、ウェブ業界ほど楽しくワクワクする業界はないと確信しています。  すでにウェブ業界で仕事をして
AIでサボろうチャンネル,https://www.youtube.com/@ai-saborou,73300,JP,60,2676994,8,"country_jp,japanese_text,ai_keywords:AI/生成AI/ChatGPT/LLM",本チャンネルでは生成AI活用始めていく上での  - 地に足のついた基礎 - すぐに役立つ応用  を幅広く取り扱って解説していきます。 しっかり学びたい時向けに基礎編を、自分の業務に活かすイメージを持つために応用事例の動画たちを見ていってください。 幅広い職種・業種の方々のAI活用のきっかけを作るために活用事例をどんどん充実させていきます。  ## 中の人プロフィール  - ソフトウェアエンジニア歴10年 - ここ2年ほどはLLMを使った
SHIFT AI ニュース,https://www.youtube.com/@shift-ai_kiuchiai,64600,JP,613,4583023,8,"country_jp,japanese_text,ai_keywords:AI/生成AI/Claude","⬇︎【完全無料】自動化丸ごとパック！豪華7大特典⬇︎ https://liff.line.me/2006548960-e40x51X1/landing?follow=%40869auqbs&lp=YM0XbA&liff_id=2006548960-e40x51X1  ■ SHIFT AI【国内最大級AI活用コミュニティ】 「日本をAI先進国に」という理念のもと、個人も法人もAI時代を勝ち抜くための実践的な知識を発信！ メンバー40,00"
かずりりぃ【ChatGPT・AI活用 × AI3.0思考】,https://www.youtube.com/@chatgpt_ai_kazlily,56300,JP,291,15405088,8,"country_jp,japanese_text,ai_keywords:AI/ChatGPT/Claude",かずりりぃ｜ChatGPT・AI活用 × AI3.0思考  ChatGPT/AIを“便利な道具”で終わらせず、 AIと一緒に『生き方と働き方』を決めて進む＝AI3.0。  ❍ ChatGPT・Claude・Claude Codeの使い方 ❍ AIを仕事や発信に組み込む実践 ❍ SNS総フォロワー14万人／企業支援30件   【まず読む】AI3.0の入口（メルマガ） https://kaz7.xyz/mail-magazine/  【すぐ
チャエン【AI研究所】〜仕事で使える最新のAI情報を発信〜 Byデジライズ,https://www.youtube.com/@chaen-ai-lab,49200,JP,441,3495426,8,"country_jp,japanese_text,ai_keywords:AI/生成AI/ChatGPT",日本で一番最速でAIを分かりやすく学べる！をテーマに毎週動画を更新しております。  ・Xフォロワー16万人 ・日本での法人向けAI研修実績NO.1 ・GMOグループ様、パーソルグループ様、Gemini（GoogleのAIツール）などのAI顧問  でもあり、テレビ出演多数のAIの専門家であるチャエンがメインの講師です。  週1-2回以上  ・AIの基礎知識 ・AIツールの使い方 ・ChatGPTの使い方 ・話題のAIニュース解説 ・仕事で
AI たろう,https://www.youtube.com/@aitaro61,41000,JP,204,2499455,8,"country_jp,japanese_text,ai_keywords:AI/生成AI/ChatGPT",▼AIたろうとは？ 2022年にChatGPTを触って衝撃を受け、生成AIツールを触り出す。 それまではAIもadobe系ツールの知識も0。 現在はAIやaftereffectsなどを駆使して、イラスト、絵本、アニメーションなどを作るのにはまっています。  ▼AIたろうyoutubeチャンネルとは？ 「AIで毎日を面白く」をコンセプトに、知識0からAIを使いこなして、出来ることの幅を広げるためのチャンネルです。 誰にでもわかりやすいよう
