name,url,subscribers,country,videos,views,japan_ai_score,locale_reason,description
カンテレNEWS,https://www.youtube.com/@ktvnews8,823000,JP,7349,674065390,5,"country_jp,japanese_text",関西テレビ報道情報局の公式チャンネルです。最新ニュースや特集、ドキュメンタリーを配信しています。台風や地震の際にはライブ配信でいち早く詳細情報をお伝えします。
なおたろ【パソコン&スマホ便利術】,https://www.youtube.com/@naotaro_lifehack,800000,JP,634,275430973,7,"country_jp,japanese_text,ai_keywords:AI/ChatGPT",知って得する『パソコン、スマホ時短便利術』  ▷作業効率が爆速化するパソコン・スマホ便利技 ▷初心者でもすぐに使えて役立つ ▷Excel、Word、PowerPoint、iPhone、ChatGPTなどのITスキル情報  「見やすく、わかりやすく、すぐ真似できる」を モットーに発信中！⁡  ▼お仕事の問い合わせはこちら urawaza.iphone@gmail.com 
TBS CROSS DIG with Bloomberg,https://www.youtube.com/@tbs_bloomberg,799000,JP,1280,95256420,5,"country_jp,japanese_text",TBSとBloombergが作る新しい金融・経済のメディアです。 「ビジネスパーソンに役立つ情報」や「海外の経済ニュース」を分かりやすくお伝えします。 旬なキーパーソンのインタビューもお届けします。  ※コメントポリシー※ 当チャンネルは、ユーザーの皆様に安心して交流いただける健全なコミュニティを作ることを目指しています。公序良俗に反するものや、他人の権利を侵害するような投稿など、コメント欄における違反行為を見つけた場合はコメントの削除
みずおじさん / 誰でも分かるスマホ講座,https://www.youtube.com/@mizuojisan3,689000,JP,1270,187813432,6,"country_jp,japanese_text,ai_keywords:AI",宮城県角田市在住の40代おじさんが主にiPhoneやiPad、MacなどのApple系お役立ち情報を配信しています。 元はサラリーマンでSEをしていたので大抵のプログラムは読めますし書けます。 アプリの裏側なども分かる方です。 宮城県角田市のPR大使でもあります! 合同会社ワタナベ動画製作所を運営中、代表社員。  お仕事の依頼は以下までお願いします。  【合同会社ワタナベ製作所 お仕事問い合わせ連絡先】 mizudes@gmail.co
Atsueigo,https://www.youtube.com/@atsueigo,678000,JP,964,122690301,5,"country_jp,japanese_text",こんにちは。　ATSUです。 このチャンネルでは生まれて大学卒業までずっと日本で育った私が英検１級、TOEIC満点、TOEFL114点、IELTS8.5を取得し、大学院留学（成績優秀にて卒業）、そしてメルボルン（オーストラリア）にてBig4会計事務所に就職を達成するまでに行ってきた英語学習を動画を通じてシェアしています。是非ともチャンネル登録お願いします。  Twitter:https://twitter.com/atsueigo 簡単
ユースフル / 実務変革のプロ,https://www.youtube.com/@youseful_skill,470000,JP,1419,50101872,6,"country_jp,japanese_text,ai_keywords:AI","ユースフル株式会社は ""明日の働き方が変わる感動体験（実務変革）"" をコンセプトに、ビジネスで成果を上げるために今必要な ""実務の攻略本"" を個人・組織にサービス提供しています。   ― サービス概要 ―――――――――――――――――――――― 📚 個人向けサービス:  　実務直結のITスキルを動画で学べる「ユースフルプロ 学び放題」 　https://youseful.jp/lp/manabihoudai?utm_medium=yo"
全国無料テレビ BS11,https://www.youtube.com/@bs11index,434000,JP,2572,72843255,5,"country_jp,japanese_text",こんにちは！BS11（イレブン）公式チャンネルです。 BS11は全番組が無料のテレビ局なのです!!（アピールしたい） ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣  アニメ、競馬、アジア・韓国ドラマなどの番組を放送しています。 BS11公式サイトはこちら🐰👉https://www.bs11.jp/   BS11+でアーカイブ配信も実施中!! ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣ 📺無料のBS11+はこちら👉https://vod.bs11.
スマキン【Smakin】,https://www.youtube.com/@smakin.8,431000,JP,410,81412833,5,"country_jp,japanese_text",iPhone（アイフォン）やLINEアプリなどの説明書を分かりやすくレビュー投稿させて頂きます🎁 カメラ機能や便利で意外な人気アプリ情報なども紹介！！ Android（アンドロイド）スマートフォンでも使える情報もあるよ🌈 インターネットやスマホ初心者でも操作方法を学んで 楽しく使用して頂けるような動画を作成して行きます。  スマキン＝スマートキングの略です。  リクエストなどのコメントも頂けると嬉しいです。 ヨロシクお願いします♪   
mikimiki web スクール,https://www.youtube.com/@mikimikiweb,374000,JP,797,30742913,8,"country_jp,japanese_text,ai_keywords:AI/生成AI/ChatGPT",Webデザイン、Canva、AI、Webマーケティング、SNS等の最新トレンド情報を発信するチャンネル。  ■Contact 📩： ririan.design01@ririanco.com（English available）  ■Corporate site（会社HP) https://mikimiki1021.com/  ■Canva、Instagram、生成AIの法人研修の無料相談はこちら https://mikimiki1021
アーサー (IU-Connect),https://www.youtube.com/@iuconnecttokyo,371000,JP,521,37739613,5,"country_jp,japanese_text",Hey there! Nice to meet you!  Thanks for checking out my channel!  アーサーと言います。  より多くの日本人の方が外国の人と壁なく交流できるようにこのチャンネルを始めました。  英語を単純に学ぶだけではなく ・外国人とたくさん話したい！ ・自分の視野を広げたい！ ・自分の世界を広げたい！ と思っている方のためのチャンネルです。  英語をたくさん学ぶんだけど、外国人と対面す
ベン・ゼイン,https://www.youtube.com/@benzain,368000,JP,1007,453388879,6,"country_jp,japanese_text,ai_keywords:AI",【私が取り上げない話題はない】  ロング動画も面白くできるように頑張ります笑 スポーツブランド『Bezain』Amazonで買えます リンクを押しても行けます。 
monograph/ 堀口英剛,https://www.youtube.com/@monograph_,293000,JP,1646,90613876,5,"country_jp,japanese_text",暮らしのモノアドバイザー。40万人の男子が読んでいる一人暮らしモノメディア「monograph 」編集長。 Yahoo! JAPANから独立後、(株)ドリップ社長に。ポプラ社よりモノマリスト本発売中。最近はモノ作り中。   【Amazonのリンクについて】 monographは、amazon.co.jpを宣伝しリンクすることによってサイトが紹介料を獲得できる手段を提供することを目的に設定されたアフィリエイト宣伝プログラムである、 Ama
雑学王子ミツル - 役立つ雑学,https://www.youtube.com/@326-zatsugaku,271000,JP,311,45238824,6,"country_jp,japanese_text,ai_keywords:AI",「役に立つ雑学」をテーマに、日常生活で役立つライフハックからニュース、 わかりやすく調査・検証していきます！  トリビア愛好家ならではのマニアックな視点や、 誰もが使えるライフハックまでさまざまな情報を発信しているチャンネルです！  ★お手紙やプレゼントのお送り先 〒150-0001　東京都渋谷区神宮前六丁目２３番４号　桑野ビル２階 株式会社縁魂　Youtuberミツル宛 ※緑(みどり)魂じゃなくて、縁(えん)魂です！  ★お仕事のお問
AKIYA MOVIE,https://www.youtube.com/@akiyamovie,265000,JP,639,63663237,6,"country_jp,japanese_text,ai_keywords:AI",お仕事の依頼はこちら akiyamovie@gmail.com
トバログ,https://www.youtube.com/@tobalog_toba,265000,JP,585,53609635,5,"country_jp,japanese_text",🙆🏻‍♂️トバログについて 「人とモノとの交差点」を紹介する『トバログ』です。このチャンネルでは、白を基調としたガジェットやデスク環境などの紹介をしています。「カバンの中身インタビュー」なども行っているのでぜひご覧ください！  ■お仕事のご依頼はこちら：team@tobalog.com ・仕事依頼や媒体資料の請求、取材や出演の依頼はこちらからお願いいたします！ ・内容によっては返信が難しい場合がありますのでご了承ください 
あべむつき【ラッキーマイン】,https://www.youtube.com/@abemutsuki,250000,JP,649,16631381,6,"country_jp,japanese_text,ai_keywords:AI",チャットGPTはじめとしたAIツールのおすすめ副業をとにかく初心者向けに発信中❗️ お金を稼ぐ方法を学ぶならラッキーマインチャンネルのあべむつきにおまかせ❗️  ※本チャンネルはアフィリエイト広告を利用しています ※本チャンネルにはプロモーションが含まれています
日本経済新聞,https://www.youtube.com/@nikkei,244000,JP,4412,129281264,5,"country_jp,japanese_text",日本経済新聞 電子版が提供しているサービスの魅力を伝える動画や放映中のテレビCM動画を公開するYoutube内公式ページです。
Professional AI CHANNEL,https://www.youtube.com/@legalontechnologies,242000,JP,205,4734086,7,"country_jp,japanese_text,ai_keywords:AI/ChatGPT","LegalOn Technologies／On Technologiesが運営する、仕事に効くAIの使い方を学べるチャンネルです。 AIをなんとなく使う段階から、仕事でしっかり成果を出す段階へ。 リーガル発の視点を活かしながら、正確で、再現しやすく、実務で使いやすいAI活用術をわかりやすく紹介します。  ■ LegalOn Technologiesについて ・Professional AI for Legalの先駆者として、1,000社"
高澤 けーすけ,https://www.youtube.com/@keisuketakasawa,238000,JP,1399,69416492,5,"country_jp,japanese_text","都内在住、写真と旅とガジェットを愛するメディアクリエイター。  レビュー・ライフスタイル・テック・旅行など、""日々の生活がちょっとでも楽しくなる""ようなコンテンツを発信していきます！  【Blog・SNS】 ・Twitter：https://twitter.com/saradaregend/ ・Instagram：https://www.instagram.com/keisuke.mono/ ・Instagram【ポートフォリオ】：ht"
化け学のふしぎ【ゆっくり解説】,https://www.youtube.com/@bakegaku-no-fushigi,224000,JP,607,425200943,5,"country_jp,japanese_text",このチャンネルでは化学の雑学やふしぎのゆっくり解説動画を定期的に上げていきます！ 気に入ってもらえたらチャンネル登録していただけると力になります！  この動画では解説内容の補足のため解説内容に関連する画像を使用しています。 各画像の引用元は各動画内に表記しております。  また当チャンネルでは引用要件を遵守し著作権を侵害しないよう注意を払っておりますが、 万が一使用画像について問題がある場合は大変恐れ入りますが下記までお問い合わせいただけ
Kelly Tsai,https://www.youtube.com/@kellytsaii,224000,TW,288,25860852,3,"japanese_text,ai_keywords:AI",Hello! 我是Kelly，目前在加州矽谷的科技公司當軟體工程師，畢業於北一女中和加州大學柏克萊分校！這個頻道會是我所有生活/工作/留學相關的影片，如果你還沒訂閱的話趕快訂閱起來吧～也可以追蹤我的ig @kelly_0614，會有更多updates！
